ID;Codigo;Link;Nombre;Descripcion/Obervaciones;Tipo;ProcedenciaOC;EsTratoDirecto;EsCompraAgil;CodigoTipo;CodigoAbreviadoTipoOC;DescripcionTipoOC;codigoEstado;Estado;codigoEstadoProveedor;EstadoProveedor;FechaCreacion;FechaEnvio;FechaSolicitudCancelacion;fechaUltimaModificacion;FechaAceptacion;FechaCancelacion;tieneItems;PromedioCalificacion;CantidadEvaluacion;MontoTotalOC;TipoMonedaOC;MontoTotalOC_PesosChilenos;Impuestos;TipoImpuesto;Descuentos;Cargos;TotalNetoOC;CodigoUnidadCompra;RutUnidadCompra;UnidadCompra;CodigoOrganismoPublico;OrganismoPublico;sector;ActividadComprador;CiudadUnidadCompra;RegionUnidadCompra;PaisUnidadCompra;CodigoSucursal;RutSucursal;Sucursal;CodigoProveedor;NombreProveedor;ActividadProveedor;ComunaProveedor;RegionProveedor;PaisProveedor;Financiamiento;PorcentajeIva;Pais;TipoDespacho;FormaPago;CodigoLicitacion;Codigo_ConvenioMarco;IDItem;codigoCategoria;Categoria;codigoProductoONU;NombreroductoGenerico;RubroN1;RubroN2;RubroN3;EspecificacionComprador;EspecificacionProveedor;cantidad;UnidadMedida;monedaItem;precioNeto;totalCargos;totalDescuentos;totalImpuestos;totalLineaNeto;Forma de Pago
43703143;2069-3288-AG21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2069-3288-AG21;SAR-CP-042021-PROGRAMA ABRIL FARMACOS-TD-AG;"Orden de Compra generada por invitación a compra ágil: 2069-402-COT21
PROGRAMA MEDICAMENTOS ABRIL 2021
Cert. Disponibilidad presupuestaria:  PRES-473/2021
Horario de Atención de Bodega: lunes a viernes de 8:30 a 13:30 - 14:30 a 17:00 horas. en horario ";AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2021-04-08;2021-05-04;2021-05-04;2021-04-08;2021-05-04;;1;3,69354838709677;62;993888;CLP;993888;158688;IVA;0;0;835200;3064;61.608.101-2;HOSPITAL BARROS LUCO TRUDEAU;7293;SERVICIO DE SALUD METROPOLITANO SUR HOSP;Salud;HOSPITALES Y CLINICAS;San Miguel;Región Metropolitana de Santiago;CL;261744;76.830.090-9;Caribean Pharma Ltda;256360;FARMACEUTICA CARIBEAN LTDA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Renca;Región Metropolitana de Santiago;Chile;5929;19;CL;7;48;;;115992586.0;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810.0;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;2140126	ZOPICLONA 7,5 MG;"MIN0215	1000	ZOPICLONA 7,5 COMP. CAJA X 1000
";3000;Comprimido;CLP;22;0;0;0.0;66000;
43826110;557639-524-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=557639-524-SE21;COMPRA FARMACOS B/9160 (*REGULARIZACIÓN*);COMPRA FARMACOS B/9160 (*REGULARIZACIÓN*);SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2021-04-29;2021-05-04;2021-04-29;2021-04-30;2021-05-04;;1;3,89333333333333;15;12973023;CLP;12973023;2071323;IVA;0;0;10901700;557639;71.014.200-9;CORMUN RANCAGUA - ADMINISTRACIÓN CENTRAL;1109551;CORP MUNICIPAL DE SERVICIOS PUBLICOS TRASPASADOS DE RANCAGUA;Municipalidades;Administrar Establecimientos de Educación y Salud;Rancagua;Región del Libertador General Bernardo O´Higgins;CL;829754;76.389.383-9;DROGUERIA GLOBAL PHARMA SPA;1426099;DROGUERIA GLOBAL PHARMA SPA;FARMACIA Y PERFUMERIA ;Cerrillos;Región Metropolitana de Santiago;Chile;;19;CL;12;39;557639-14-LR20;;116333016.0;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810.0;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;ZOPLICONA 7,5 MG COMPRIMIDO;ZOPLICONA 7,5 MG COMPRIMIDO;210000;Comprimido;CLP;30;0;0;0.0;6300000;Otro, Ver Instrucciones
43837744;2258-3336-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2258-3336-SE21;ZOPLICONA;"COMPRA PROGRAMA FARMACIA PROVEEDOR EN LICIATCION
COMPRIMIDOS VARIOS DESDE 2258-284-LR20, SE SOLICITA DESAPCHO URGENTE.";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2021-05-03;2021-05-03;2021-05-03;2021-05-03;2021-05-03;;1;3,27027027027027;37;785400;CLP;785400;125400;IVA;0;0;660000;3252;61.606.201-8;Abastecimiento Principal;7451;SERVICIO DE SALUD ANTOFAGASTA HOSPITAL L;Salud;;Antofagasta;Región de Antofagasta ;CL;275627;76.956.140-4;ETHON PHARMACEUTICALS SPA.;269948;ETHON PHARMACEUTICALS  COMERCIALIZADORA  IMP EXP Y DIST SPA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Rancagua;Región del Libertador General Bernardo O´Higgins;Chile;;19;CL;7;48;2258-284-LR20;;116364527.0;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810.0;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;214-0134 ZOPICLONA CM 7,5 MG. ENVASADO EN BLISTER;"ZPCL07.5COMP. BEZOPICLONA 7.5MG X 1000 COMP.REC.. MINTLAB. ZOPICLONA. REG ISP F-12586 - VTO 11-2022 - LOTE K201537
Entrega en 48 horas. Se adjunta ISP, CANJE y anexos técnicos. Sin costo por flete. Pedido mínimo 50.000.";30000;Comprimido;CLP;22;0;0;0.0;660000;
43839434;3854-49-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3854-49-SE21;ORDEN DE COMPRA DESDE 3854-6-LE21;"Medicamentos Segundo Trimestre  DESDE 3854-6-LE21
Favor despachar a Ejercito Libertador 1500, Rio Bueno - Cesfam";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2021-05-03;2021-05-03;2021-05-03;2021-05-03;2021-05-03;;1;3,8375;16;121380;CLP;121380;19380;IVA;0;0;102000;4774;69.201.000-0;Consultorio;117580;I MUNICIPALIDAD DE RIO BUENO;Municipalidades;MUNICIPALIDADES;Río Bueno;Región de Los Ríos;CL;26581;91.637.000-8;LABORATORIOS RECALCINE S.A;26786;LABORATORIOS RECALCINE SA;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Providencia;Región Metropolitana de Santiago;Chile;2152204004;19;CL;12;2;3854-6-LE21;;116369624.0;51141900.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Tranquilizantes y fármacos ansiolíticos y antimaníacos;51141920.0;Diazepam;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Tranquilizantes y fármacos ansiolíticos y antimaníacos;eszopiclona 3 mg cm;"881851 VALNOC COMP. REC. 3 MG X 30, VENCIMIENTO: 02-10-2022  REGISTRO ISP F-1673518  
";1020;Comprimido;CLP;100;0;0;0.0;102000;30 dias contra la recepcion conforme de la factura
43842377;1705-473-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1705-473-SE21;ORDEN DE COMPRA DESDE 1705-8-LE21;MEDICAMENTOS MEMO 7 DESDE 1705-8-LE21;SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2021-05-03;2021-05-04;2021-05-04;2021-05-04;2021-05-04;;1;4,40377358490566;53;506011,8;CLP;506011,8;80791,8;IVA;0;0;425220;2701;61.606.603-k;Hospital Quintero;7348;Hospital Quintero;Salud;HOSPITALES Y CLINICAS;Quintero;Región de Valparaíso ;CL;106395;77.596.940-7;LABORATORIO CHILE S.A.;103860;LABORATORIO CHILE S A;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Ñuñoa;Región Metropolitana de Santiago;Chile;;19;CL;7;2;1705-8-LE21;;116378593.0;42171900.0;Equipamiento y suministros médicos / Artículos médicos para urgencias y atención en terreno / Contenedores de almacenaje para servicios médicos de urgencia;42171903.0;Cajas de medicamentos de servicios médicos de urgencia;Equipamiento y suministros médicos;Artículos médicos para urgencias y atención en terreno;Contenedores de almacenaje para servicios médicos de urgencia;ESZOPICLONA 3 MG CM;120-10-74721 ZOPINOM 3 MG 30 CR REG.ISP F-17137 EQUIVALENTE TERAPÉUTICO Eszopiclona 3 mg 30 Comprimidos Recubiertos , venc: Dic23 F-17137/18   EQUIVALENTE TERAPÉUTICO, Se adjunta documentacion técnica, certificado de farmavigilancia, politica de canje, de;3990;Unidad;CLP;70;0;0;0.0;279300;30 dias contra la recepcion conforme de la factura
43842890;1057055-675-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057055-675-SE21;GSP INT 580/2020 1057055-56-LQ20 PAC ZOPICLONA 7.5MG;"GSP INT 580/2020 1057055-56-LQ20 PAC ZOPICLONA 7.5MG

FARMACIA CONTROLADOS

PLC (1057055-1-PC21)

DESPACHO SERA COORDINADO MEDIANTE CORREO ELECTRÓNICO. 

CUALQUIER CONSULTA COMUNICARSE AL FONO: 25749286 O AL CORREO ELECTRÓNICO gerardo.silvap@redsa";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2021-05-03;2021-05-04;2021-05-03;2021-05-03;2021-05-04;;1;3,27027027027027;37;108438,75;CLP;108438,75;17313,75;IVA;0;0;91125;1057055;61.608.604-9;Fármacos;7326;SERV SALUD METROPOLITANO CENTRAL HOSPITAL CLINICO SAN BORJA ARRIARAN;Salud;Adquisición de Fármacos;Santiago Centro;Región Metropolitana de Santiago;CL;275627;76.956.140-4;ETHON PHARMACEUTICALS SPA.;269948;ETHON PHARMACEUTICALS  COMERCIALIZADORA  IMP EXP Y DIST SPA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Rancagua;Región del Libertador General Bernardo O´Higgins;Chile;;19;CL;7;48;1057055-56-LQ20;;116379956.0;51141500.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Anticonvulsivos;51141505.0;Fenobarbital;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Anticonvulsivos;212-9500 ZOPICLONA 7.5 (UD) comprimido ranurado, liberación convencional, bioequivalente;ZPCL07.5COMP. BEZOPICLONA 7.5MG X 1000 COMP.REC.. MINTLAB. ZOPICLONA. REG ISP F-12586 - VTO 10-2021 - LOTE J190754 Entrega en 24 horas. Se adjunta ISP, CANJE y anexos técnicos. Validez de la oferta 120 días. Sin costo por flete.;4050;Unidad;CLP;22,5;0;0;0.0;91125;
43845093;2448-428-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2448-428-SE21;ADQ. MEDICAMENTOS DROGUERIA PHARMAVISAN;"ADQ. MEDICAMENTOS DROGUERIA DESDE 2448-30-R121
RESPONSABLE: RODRIGO CORTES CORTES
CENTRO COSTO:
DIRECCION DE DESPACHO:
CALLE ACEVEDO #101, ESQ. AMBROSIO O'HIGGINS, SECTOR AV. EL SAUCE, SINDEMPART, COQUIMBO
AT: RODRIGO CORTES CORTES
FONO: 51-2286568";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2021-05-04;2021-05-06;2021-05-06;2021-05-06;2021-05-13;;1;4,55238095238095;21;2618000;CLP;2618000;418000;IVA;0;0;2200000;3440;69.040.300-5;Departamento de Salud;87901;I MUNICIPALIDAD DE COQUIMBO;Municipalidades;GOBIERNO CENTRAL Y ADMINISTRACION PUBLICA| ESTABLECIMIENTOS DE ENSENANZA PRIMARIA;Coquimbo;Región de Coquimbo ;CL;549508;76.055.804-4;INVERSIONES PHARMAVISAN S.A.;1095641;INVERSIONES PHARMAVISAN S.A;VENTA AL POR MENOR DE PRODUCTOS MEDICINALES| VENTA;Ñuñoa;Región Metropolitana de Santiago;Chile;215-22-04-004-001;19;CL;12;2;2448-30-R121;;116385944.0;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810.0;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;ZOPICLONA 7,5 MG CM/CM REC.;ZOMETIC (Zopiclona) 7,5 mg x 30 comprimidos recubiertos. ISP: F-8783. Laboratorio Chemopharma. Se adjunta ficha técnica., venc: 31-07-2023, Entrega 2 días. Monto mínimo de despacho OC $50.000 neto. Flete incluido. Se adjuntan fichas e información corporat;80000;Unidad;CLP;27,5;0;0;0.0;2200000;30 dias contra la recepcion conforme de la factura
43845658;3946-468-AG21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3946-468-AG21;Orden de Compra generada por invitación a compra ágil: 3946-198-COT21 (MEDICAMENTOS BODEGA DSM);"DESPACHO EN FARMACIA SOLIDARIA DEL DEPARTAMENTO DE SALUD MUNICIPAL CHORRILLOS N°46 PICHIDEGUA SEXTA REGIÓN. CONTACTO PARA ENTREGA MIGUEL RIVEROS; FONO: 722299690. COMPRA SOLICITADA POR Q.F. VIVIANA MEDINA.

Orden de Compra generada por invitación a comp";AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;6;Aceptada;4;Aceptada;2021-05-04;2021-05-05;2021-05-04;2021-05-05;2021-05-05;;1;3,69354838709677;62;1267100,1;CLP;1267100,1;202310,1;IVA;0;0;1064790;4866;69.081.100-6;Administración y Finanzas;118621;I MUNICIPALIDAD DE PICHIDEGUA;Municipalidades;;Pichidegua;Región del Libertador General Bernardo O´Higgins;CL;261744;76.830.090-9;Caribean Pharma Ltda;256360;FARMACEUTICA CARIBEAN LTDA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Renca;Región Metropolitana de Santiago;Chile;2152204004001001;19;CL;7;2;;;116387418.0;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810.0;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;200 CJS. ZOPICLONA 7,5 MG 30 COMP ZOPERIL.Indicar: marca del producto, f.de vencimiento, despacho incluido en dirección indicada,completar y adjuntar formato datos proveedor (se encuentra en los adjuntos);;200;Caja;CLP;1099;0;0;0.0;219800;30 dias contra la recepcion conforme de la factura
43846044;1058092-147-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1058092-147-SE21;Adquisición Medicamentos.;"SUMINISTRO DE MEDICAMENTOS CONTROLADOS, SUEROS Y OTROS PARA EL HSLBP
Licitación ID: 1058092-1-LE21, según RX N° 222 del 19/04/2021.
CDP N° 309/2021

EN FACTURA, ADJUNTAR COPIA IMPRESA DE LA RESPECTIVA ORDEN DE COMPRA EN ESTADO ACEPTADA, ASIMISMO ESP";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2021-05-04;2021-05-04;2021-05-04;2021-05-04;2021-05-04;;1;3,27027027027027;37;26180;CLP;26180;4180;IVA;0;0;22000;1058092;61.608.105-5;Hospital San Luis de Buin;7405;SERVICIO DE SALUD SUR HOSPITAL SAN LUIS;Salud;Fármacos;Buin;Región Metropolitana de Santiago;CL;275627;76.956.140-4;ETHON PHARMACEUTICALS SPA.;269948;ETHON PHARMACEUTICALS  COMERCIALIZADORA  IMP EXP Y DIST SPA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Rancagua;Región del Libertador General Bernardo O´Higgins;Chile;;19;CL;7;48;1058092-1-LE21;;116388495.0;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810.0;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;"CÓD.: 2120057
ZOPICLONA 	7,5MG	COMPRIMIDO 
";"ZPCL07.5COMP. BEZOPICLONA 7.5MG X 1000 COMP.REC.. MINTLAB. ZOPICLONA. REG ISP F-12586 - VTO 11-2022 - LOTE K201537
Se adjunta ISP, anexos
Entrega en 24 Horas
Vigencia 90 días ";1000;Unidad;CLP;22;0;0;0.0;22000;
43849392;1979-1126-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1979-1126-SE21;"FARMACOS EN CONVENIO DESDE ID 1979-77-LQ20;1979-104-LQ20;1979-14-LQ20";"SOLICITUD BODEGA FARMACIA 
RESOL. EXENTA N°982
DESDE ID 1979-77-LQ20;1979-104-LQ20;1979-14-LQ20
VENCIMIENTO NO MENOR A 12 MESES
*RECEPCION DE PRODUCTOS EN BODEGA
LUNES A VIERNES DESDE LAS 08:00 HASTA LAS 14:00 HRS.
";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2021-05-04;2021-05-04;2021-05-04;2021-05-06;2021-05-05;;1;3,8375;16;1874892,6;CLP;1874892,6;299352,6;IVA;0;0;1575540;2974;61.607.401-6;Hospital Nueva Imperial;7060;SERVICIO DE SALUD ARAUCANIA SUR HOSPITAL DE NUEVA IMPERIAL;Salud;;Nueva Imperial;Región de la Araucanía ;CL;26581;91.637.000-8;LABORATORIOS RECALCINE S.A;26786;LABORATORIOS RECALCINE SA;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Providencia;Región Metropolitana de Santiago;Chile;;19;CL;7;2;;;116398527.0;51161800.0;Medicamentos y productos farmacéuticos / Medicamentos para el tracto respiratorio / Productos para tos, resfriados y antialérgicos;51161812.0;Combinación clorfeniramina-acetaminofeno;Medicamentos y productos farmacéuticos;Medicamentos para el tracto respiratorio;Productos para tos, resfriados y antialérgicos;"ESZOPICLONA 3 MG CM
";"ESZOPICLONA 3 MG CM
";1050;Unidad no definida;CLP;65;0;0;0.0;68250;30 dias contra la recepcion conforme de la factura
