ID;Codigo;Link;Nombre;Descripcion/Obervaciones;Tipo;ProcedenciaOC;EsTratoDirecto;EsCompraAgil;CodigoTipo;CodigoAbreviadoTipoOC;DescripcionTipoOC;codigoEstado;Estado;codigoEstadoProveedor;EstadoProveedor;FechaCreacion;FechaEnvio;FechaSolicitudCancelacion;fechaUltimaModificacion;FechaAceptacion;FechaCancelacion;tieneItems;PromedioCalificacion;CantidadEvaluacion;MontoTotalOC;TipoMonedaOC;MontoTotalOC_PesosChilenos;Impuestos;TipoImpuesto;Descuentos;Cargos;TotalNetoOC;CodigoUnidadCompra;RutUnidadCompra;UnidadCompra;CodigoOrganismoPublico;OrganismoPublico;sector;ActividadComprador;CiudadUnidadCompra;RegionUnidadCompra;PaisUnidadCompra;CodigoSucursal;RutSucursal;Sucursal;CodigoProveedor;NombreProveedor;ActividadProveedor;ComunaProveedor;RegionProveedor;PaisProveedor;Financiamiento;PorcentajeIva;Pais;TipoDespacho;FormaPago;CodigoLicitacion;Codigo_ConvenioMarco;IDItem;codigoCategoria;Categoria;codigoProductoONU;NombreroductoGenerico;RubroN1;RubroN2;RubroN3;EspecificacionComprador;EspecificacionProveedor;cantidad;UnidadMedida;monedaItem;precioNeto;totalCargos;totalDescuentos;totalImpuestos;totalLineaNeto;Forma de Pago
44921639;1058141-1673-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1058141-1673-SE21;(APM) PEDIDO EXTRA FARMACIA MELATONINA CM LP 2 MG;" PEDIDO EXTRA FARMACIA PNH 5271 - 5344 - 5457 - 5527 - 5528.
 fecha de entrega ((04/04/2022)) bodega de farmacia.
 despachar con guía y enviar factura contra recepción conforme en portal mercado público.
 horario de entrega en bodegas lunes a jueve";SE;Emergencia, urgencia o imprevisto;Si;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2021-11-12;2022-03-31;2022-03-16;2022-03-30;2022-04-05;;1;4,55238095238095;21;2965813,2;CLP;2965813,2;473533,2;IVA;0;0;2492280;1058141;61.602.054-4;Fármarcos;1468521;SERVICIO NACIONAL DE SALUD HOSPITAL CARLOS VAN BUREN;Salud;Servicio Público;Valparaíso;Región de Valparaíso ;CL;549508;76.055.804-4;INVERSIONES PHARMAVISAN S.A.;1095641;INVERSIONES PHARMAVISAN S.A;VENTA AL POR MENOR DE PRODUCTOS MEDICINALES| VENTA;Ñuñoa;Región Metropolitana de Santiago;Chile;;19;CL;7;2.0;;;119353511;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;MELATONINA CM LP 2 MG [4004043];VIGISOM (Melatonina) 2 mg x 30 COMPRIMIDOS DE LIBERACIÓN PROLONGADA. ISP: F-25415. BIOPAS. Vence 03-2025;2760;Comprimido;CLP;903;0;0;0;2492280;30 dias contra la recepcion conforme de la factura
45461395;1058045-273-SE22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1058045-273-SE22;ORDEN DE COMPRA DESDE 1058045-9-LQ21;"CONVENIO DE SUMINISTRO DE FÁRMACOS USO FRECUENTE DESDE 1058045-9-LQ21
Resolución Nº9642/2021
FORM 1 ABAST FEBRERO
C.costo 580

OBS: SE SOLICITA UNA VEZ REVISADA LA ORDEN DE COMPRA, DEJAR EN ESTADO ACEPTADA EN PORTAL PARA ASÍ TENER UN
DEVENGO OPORTUN";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2022-02-18;2022-03-09;2022-02-18;2022-02-18;2022-03-15;;1;4,82222222222222;9;128520;CLP;128520;20520;IVA;0;0;108000;1058045;61.606.404-5;Fármarcos;7417;SERVICIO DE SALUD COQUIMBO HOSPITAL DE O;Salud;Servicio Público;Ovalle;Región de Coquimbo ;CL;21978;79.802.770-0;Eurofarma Chile S. A.;22491;Eurofarma Chile S. A.;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Cerrillos;Región Metropolitana de Santiago;Chile;;19;CL;7;2.0;1058045-9-LQ21;;120846321;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;MELATONINA 3 MG. (CP);419345 - Melatonina 3 mg Cj x 30 Comp. - Reg. ISP F-11438-21. Venc: 31-05-2023. Entrega 2 días corridos. Sin recargo por flete puesto en bodegas del comprador. Validez Oferta 150 días.;3600;Cápsula;CLP;30;0;0;0;108000;30 dias contra la recepcion conforme de la factura
45489222;3829-39-CC22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3829-39-CC22;COMPRA FARMACOS MES FEBRERO 2022 ;"ADQUISICION DE MEDICAMENTOS MES FEBRERO 2022 DEPÁRTAMENTO DE SALUD, RANQUIL SOLICITADO POR Q.F VICTOR FREIRE CON FECHA 24-02-2022 CORRESPONDIENTE A LA ID 1058101-2-LR21, RESOLUCION EXENTA N°0579 DEL 05-02-2022 

DESPACHAR CALLE PEDRO AGUIRRE CERDA 392, ";CC;Proveniente de licitación pública;No;No;14;CC;Compra Coordinada;6;Aceptada;4;Aceptada;2022-02-25;2022-03-04;2022-03-04;2022-03-04;2022-03-04;;1;3,27027027027027;37;1262218,72;CLP;1262218,72;201530,72;IVA;0;0;1060688;4749;69.150.300-3;Departamento de Salud;7418;Ilustre Municipalidad de Ranquil;Municipalidades;;Ranquil;Región del Ñuble;CL;275627;76.956.140-4;ETHON PHARMACEUTICALS SPA.;269948;ETHON PHARMACEUTICALS  COMERCIALIZADORA  IMP EXP Y DIST SPA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Rancagua;Región del Libertador General Bernardo O´Higgins;Chile;215-22-04-004-001;19;CL;7;2.0;1058101-2-LR21;;120966065;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;MELATONINA COMPRIMIDOS 3 MG X 30 UNIDADES ;;40;Caja;CLP;1170;0;0;0;46800;30 dias contra la recepcion conforme de la factura
45497348;3956-37-AG22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3956-37-AG22;ADQ. DE MEDICAMENTOS DESTINADOS A LA FARMACIA MUNICIPAL DE SANTA JUANA;ADQ. DE MEDICAMENTOS DESTINADOS A LA FARMACIA MUNICIPAL DE SANTA JUANA;AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;4;Enviada a proveedor;1;Nueva orden de compra;2022-02-28;2022-03-07;2022-03-07;2022-03-07;;;1;4,82222222222222;9;367045,98;CLP;367045,98;58603,98;IVA;0;0;308442;4876;69.151.400-5;Departamento de Salud;118623;I MUNICIPALIDAD DE SANTA JUANA;Municipalidades;Administracion Publica, Salud;Santa Juana;Región del Biobío ;CL;21978;79.802.770-0;Eurofarma Chile S. A.;22491;Eurofarma Chile S. A.;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Cerrillos;Región Metropolitana de Santiago;Chile;2152204004;19;CL;7;2.0;;;120959455;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;MELATONINA X 30 COMPRIMIDOS;;10;Caja;CLP;961;0;0;0;9610;30 dias contra la recepcion conforme de la factura
45508565;748201-251-SE22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=748201-251-SE22;LIC. 748201-6-LR21 Ethon Sinfa 25807 SANTIAGO;"SINFA N°25807
FACTURAR: CAPREDENA
GIRO: VENTA AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y MEDICINALES EN COMERCIOS ESPECIALIZADOS.
DIRECCION FACTURA: PASEO BULNES 284 STGO
DESPACHO: PASEO BULNES N°284
MENCIONAR OC EN LA FACTURA	
DEBE ACEPTAR OC ANTES ";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2022-03-01;2022-03-03;2022-03-03;2022-04-11;2022-03-03;;1;3,27027027027027;37;134035,65;CLP;134035,65;21400,65;IVA;0;0;112635;748201;61.108.000-k;Unidad de Compras Farmacia;7175;CAJA DE PREVISION DE LA DEFENSA NACIONAL;Gob. Central, Universidades;FARMACIAS INDEPENDIENTES| COMERCIO AL POR MENOR DE;Santiago;Región Metropolitana de Santiago;CL;275627;76.956.140-4;ETHON PHARMACEUTICALS SPA.;269948;ETHON PHARMACEUTICALS  COMERCIALIZADORA  IMP EXP Y DIST SPA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Rancagua;Región del Libertador General Bernardo O´Higgins;Chile;;19;CL;7;2.0;748201-6-LR21;;120993639;85121900.0;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Farmacéuticos;85121902.0;Farmacias;Salud, servicios sanitarios y alimentación;Medicina y servicios de salud;Farmacéuticos;MELATONINA 3 MG 30 (EUROFARMA);MELATONINA 3 MG 30 (EUROFARMA);45;Caja;CLP;1170;0;0;0;52650;30 dias contra la recepcion conforme de la factura
45517801;1947-722-AG22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1947-722-AG22;214-0280 MELATONINA CM 3MG - Falta Cenabast - (RQA);"- OC SAM: 30220855
- Unidad Requirente: Farmacia 
- Modalidad de Entrega: Inmediata
- Horario de Bodega de Lunes a Jueves 8:30 a 17:00 Hrs.  Viernes 8:30 a 16:00
- Al Despachar y Facturar se requiere adjuntar OC Aceptada
- Se solicita el despacho de ";AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2022-03-03;2022-03-15;2022-03-03;2022-03-24;2022-03-15;;1;4,82222222222222;9;1178100;CLP;1178100;188100;IVA;0;0;990000;2942;61.608.004-0;Abastecimiento;7045;SERVICIO DE SALUD NORTE HOSPITAL ROBERTO DEL RIO;Salud;;Independencia;Región Metropolitana de Santiago;CL;21978;79.802.770-0;Eurofarma Chile S. A.;22491;Eurofarma Chile S. A.;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Cerrillos;Región Metropolitana de Santiago;Chile;;19;CL;7;48.0;;;121021566;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;214-0280 MELATONINA CM 3MG;;33000;Unidad;CLP;30;0;0;0;990000;
45523656;748201-285-SE22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=748201-285-SE22;LIC. 748201-6-LR21 ETHON Valparaíso (Sinfa 12235));"SINFA N°12235
FACTURAR: CAPREDENA
GIRO: VENTA AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y MEDICINALES EN COMERCIOS ESPECIALIZADOS.
DIRECCION FACTURA: PASEO BULNES 284 STGO.
DESPACHO: YUNGAY N° 1951 VALPARAISO  
MENCIONAR Nº OC EN LA FACTURA
DEBE ACEPT";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2022-03-03;2022-03-08;2022-03-08;2022-03-08;2022-03-08;;1;3,27027027027027;37;164826,9;CLP;164826,9;26316,9;IVA;0;0;138510;748201;61.108.000-k;Unidad de Compras Farmacia;7175;CAJA DE PREVISION DE LA DEFENSA NACIONAL;Gob. Central, Universidades;FARMACIAS INDEPENDIENTES| COMERCIO AL POR MENOR DE;Santiago;Región Metropolitana de Santiago;CL;275627;76.956.140-4;ETHON PHARMACEUTICALS SPA.;269948;ETHON PHARMACEUTICALS  COMERCIALIZADORA  IMP EXP Y DIST SPA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Rancagua;Región del Libertador General Bernardo O´Higgins;Chile;;19;CL;7;2.0;748201-6-LR21;;121039624;85121900.0;Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Farmacéuticos;85121902.0;Farmacias;Salud, servicios sanitarios y alimentación;Medicina y servicios de salud;Farmacéuticos;MELATONINA 3 MG 30 (EUROFARMA);MELATONINA 3 MG 30 (EUROFARMA);60;Caja;CLP;1170;0;0;0;70200;30 dias contra la recepcion conforme de la factura
45526108;2145-204-SE22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2145-204-SE22;ORDEN DE COMPRA DESDE 2145-19-LE21;  Suministro Farmacos Hospital Los Vilos 2 DESDE 2145-19-LE21;SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2022-03-04;2022-03-29;2022-03-29;2022-03-29;2022-03-30;;1;3,89333333333333;15;208250;CLP;208250;33250;IVA;0;0;175000;3140;61.606.409-6;Hospital Los Vilos;7471;SERVICIO DE SALUD COQUIMBO HOSPITAL DE LOS VILOS;Salud;HOSPITALES Y CLINICAS;Los Vilos;Región de Coquimbo ;CL;829754;76.389.383-9;DROGUERIA GLOBAL PHARMA SPA;1426099;DROGUERIA GLOBAL PHARMA SPA;FARMACIA Y PERFUMERIA ;Cerrillos;Región Metropolitana de Santiago;Chile;;19;CL;7;2.0;2145-19-LE21;;121047168;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;MELATONINA 	CAPSULA	3 MG	;"4242075	MELATONINA 3 MG 30 COMP		EUROPHARMA	MELATONINA	30-06-2023
";5000;Unidad;CLP;35;0;0;0;175000;30 dias contra la recepcion conforme de la factura
45538110;3019-168-SE22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3019-168-SE22;MEDICAMENTOS;ADQUISICIÓN DE MEDICAMENTOS PARA FUNCIONAMIENTO DE LA FARMACIA MUNICIPAL DE LOTA;SE;Si solo existe un proveedor del bien o servicio;Si;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2022-03-08;2022-03-09;2022-03-09;2022-03-28;2022-03-09;;1;0;0;376159;CLP;376159;60059;IVA;0;0;316100;3972;69.259.900-4;Departamento de Salud;113259;I MUNICIPALIDAD DE LOTA;Municipalidades;;Lota;Región del Biobío ;CL;677833;76.070.033-9;ARAMA NATURAL PRODUCTS DISTRIBUIDORA LIMITADA;1279538;ARAMA NATURAL PRODUCTS DISTRIBUIDORA LIMITADA;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| SERV;Pudahuel;Región Metropolitana de Santiago;Chile;;19;CL;7;2.0;;;121082936;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;MELATONINA 3 MG X 30 COMPRIMIDOS ;;50;Caja;CLP;1450;0;0;0;72500;30 dias contra la recepcion conforme de la factura
45539521;2664-242-SE22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2664-242-SE22;MEDICAMENTOS FARMACIA POPULAR S/P. 03-05-22;"MEDICAMENTOS FARMACIA POPULAR S/P. 03-05-22
DESPACHAR A IGNACIO SERRANO N° 1055 - TOME
AT.: CARLOS VILLARROEL SOTO";SE;Contratación con titulares de derecho de propiedad intelectual o industrial;Si;No;8;SE;Sin emisión automática;4;Enviada a proveedor;1;Nueva orden de compra;2022-03-08;2022-03-08;2022-03-08;2022-03-09;;;1;4,82222222222222;9;1005809,42;CLP;1005809,42;160591,42;IVA;0;0;845218;3653;69.150.102-7;Dirección de Salud Municipal;98443;I MUNICIPALIDAD DE TOME;Municipalidades;;Tomé;Región del Biobío ;CL;21978;79.802.770-0;Eurofarma Chile S. A.;22491;Eurofarma Chile S. A.;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Cerrillos;Región Metropolitana de Santiago;Chile;;19;CL;7;2.0;;;121087312;42171900.0;Equipamiento y suministros médicos / Artículos médicos para urgencias y atención en terreno / Contenedores de almacenaje para servicios médicos de urgencia;42171903.0;Cajas de medicamentos de servicios médicos de urge;Equipamiento y suministros médicos;Artículos médicos para urgencias y atención en terreno;Contenedores de almacenaje para servicios médicos de urgencia;"Melatonina 3 mg 30 comprimidos
";"Melatonina 3 mg 30 comprimidos
";30;Caja;CLP;961;0;0;0;28830;30 dias contra la recepcion conforme de la factura
