ID;Codigo;Link;Nombre;Descripcion/Obervaciones;Tipo;ProcedenciaOC;EsTratoDirecto;EsCompraAgil;CodigoTipo;CodigoAbreviadoTipoOC;DescripcionTipoOC;codigoEstado;Estado;codigoEstadoProveedor;EstadoProveedor;FechaCreacion;FechaEnvio;FechaSolicitudCancelacion;fechaUltimaModificacion;FechaAceptacion;FechaCancelacion;tieneItems;PromedioCalificacion;CantidadEvaluacion;MontoTotalOC;TipoMonedaOC;MontoTotalOC_PesosChilenos;Impuestos;TipoImpuesto;Descuentos;Cargos;TotalNetoOC;CodigoUnidadCompra;RutUnidadCompra;UnidadCompra;CodigoOrganismoPublico;OrganismoPublico;sector;ActividadComprador;CiudadUnidadCompra;RegionUnidadCompra;PaisUnidadCompra;CodigoSucursal;RutSucursal;Sucursal;CodigoProveedor;NombreProveedor;ActividadProveedor;ComunaProveedor;RegionProveedor;PaisProveedor;Financiamiento;PorcentajeIva;Pais;TipoDespacho;FormaPago;CodigoLicitacion;Codigo_ConvenioMarco;IDItem;codigoCategoria;Categoria;codigoProductoONU;NombreroductoGenerico;RubroN1;RubroN2;RubroN3;EspecificacionComprador;EspecificacionProveedor;cantidad;UnidadMedida;monedaItem;precioNeto;totalCargos;totalDescuentos;totalImpuestos;totalLineaNeto;Forma de Pago
43161126;748201-2152-SE20;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=748201-2152-SE20;TD Lab. Eurofarma Santiago (citrix 46.383);"SOL.N°46383
FACTURAR: CAPREDENA
GIRO: VENTA AL POR MENOR DE PRODUCTOS FARMACÉUTICOS Y MEDICINALES EN COMERCIOS ESPECIALIZADOS.
DIRECCION FACTURA: PASEO BULNES 284 STGO
DESPACHO: PASEO BULNES 284 STGO
MENCIONAR OC EN LA FACTURA
DEBE ACEPTAR OC ANTES ";SE;Costo de evaluación desproporcionado, y por monto de contratación inferior a 100 UTM;Si;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2020-12-22;2021-01-12;2021-01-12;2021-01-12;2021-01-27;;1;4,82222222222222;9;3501313,2;CLP;3501313,2;559033,2;IVA;0;0;2942280;748201;61.108.000-k;Unidad de Compras Farmacia;7175;CAJA DE PREVISION DE LA DEFENSA NACIONAL;Gob. Central, Universidades;FARMACIAS INDEPENDIENTES| COMERCIO AL POR MENOR DE;Santiago;Región Metropolitana de Santiago;CL;21978;79.802.770-0;Eurofarma Chile S. A.;22491;Eurofarma Chile S. A.;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Cerrillos;Región Metropolitana de Santiago;Chile;;19;CL;7;39.0;;;114493072.0;51141900.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Tranquilizantes y fármacos ansiolíticos y antimaníacos;51141920.0;Diazepam;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Tranquilizantes y fármacos ansiolíticos y antimaníacos;MELATONINA 3 MG 30 COMP;MELATONINA 3 MG 30 COMP;45;Caja;CLP;900;0;0;0.0;40500;Otro, Ver Instrucciones
43214277;1100719-7-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1100719-7-SE21;ORDEN DE COMPRA DESDE 619133-33-LE20;"PEDIDO PRIORITARIO ENERO 2021
Despachar A Bodega De Farmacia Del Hospital San Camilo A Avda Miraflores 2085 San Felipe. FLETE CARGOS AL PROVEEDOR 
Es Responsabilidad del proveedor despachar con guía de despacho los productos adquiridos por el establecim";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2021-01-04;2021-01-06;2021-01-04;2021-01-04;2021-01-06;;1;4,82222222222222;9;189638,4;CLP;189638,4;30278,4;IVA;0;0;159360;1100719;61.602.038-2;FÁRMACOS;1216718;SERVICIO SALUD SAN FELIPE LOS ANDES HOSP;Salud;;San Felipe;Región de Valparaíso ;CL;21978;79.802.770-0;Eurofarma Chile S. A.;22491;Eurofarma Chile S. A.;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Cerrillos;Región Metropolitana de Santiago;Chile;;19;CL;12;48.0;619133-33-LE20;;114634700.0;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;MELATONINA 3 MG;MELATONINA 3 MG;4980;Comprimido;CLP;32;0;0;0.0;159360;
43219345;1058044-5-AG21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1058044-5-AG21;Fármacos Stock Enero 2021;La Recepción de Mercaderia se realizará SÓLO CONTRA GUÍA DE DESPACHO en conformidad a Ley de Pago Oportuno N°21.131 en Bodega de Farmacia, ubicada en Av. Videla S/N° de Lunes a Viernes de las 08:30 a las 13:00. Posterior a Recepción Conforme en Portal de ;AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2021-01-05;2021-01-05;2021-01-05;2021-01-05;2021-01-05;;1;3,69354838709677;62;111919,5;CLP;111919,5;17869,5;IVA;0;0;94050;1058044;61.606.403-7;Fármarcos;7416;SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO;Salud;Servicio Público;Coquimbo;Región de Coquimbo ;CL;261744;76.830.090-9;Caribean Pharma Ltda;256360;FARMACEUTICA CARIBEAN LTDA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Renca;Región Metropolitana de Santiago;Chile;;19;CL;7;39.0;;;114648519.0;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;214-0403 VOL0222    MELATONINA 3MG X 30 COMP;214-0403 VOL0222    MELATONINA 3MG X 30 COMP;210;Comprimido;CLP;35;0;0;0.0;7350;Otro, Ver Instrucciones
43220981;3980-1-AG21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3980-1-AG21;Adquisición medicamentos Farmacia Comunitaria;Necesidad de adquirir medicamentos Farmacia Comunitaria;AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;No;13;AG;Compra Ágil;6;Aceptada;4;Aceptada;2021-01-05;2021-01-08;2021-01-08;2021-01-08;2021-01-11;;1;3,69354838709677;62;1487884,37;CLP;1487884,37;237561,37;IVA;0;0;1250323;4900;69.080.900-1;Salud;118861;I MUNICIPALIDAD DE PEUMO;Municipalidades;;Peumo;Región del Libertador General Bernardo O´Higgins;CL;261744;76.830.090-9;Caribean Pharma Ltda;256360;FARMACEUTICA CARIBEAN LTDA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Renca;Región Metropolitana de Santiago;Chile;2152204004;19;CL;7;2.0;;;114670482.0;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;MELATONINA 3MG X 30 COMP.;MELATONINA 3MG X 30 COMP.;20;Caja;CLP;1143;0;0;0.0;22860;30 dias contra la recepcion conforme de la factura
43224879;2111-89-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2111-89-SE21;2142140027 MELATONINA 3 MG DESDE 2111-29-LE19;"2142140027 MELATONINA 3 MG
No se procederá al pago si O/C no es aceptada.															
Se debe incluir en documento de despacho, lote y fecha de vencimiento de los productos (cuando corresponda).								
Enviar factura en formato a correo: dipresrece";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2021-01-06;2021-01-06;2021-01-06;2021-01-21;2021-01-07;;1;4,8;4;84609;CLP;84609;13509;IVA;0;0;71100;3106;61.608.602-2;Hospital de Urgencia Asistencia Pública;7460;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA DR ALEJANDRO DEL RIO;Salud;;Santiago Centro;Región Metropolitana de Santiago;CL;658977;76.167.536-2;Medikar Ltda;1261270;Comercializadora Medikar Ltda;VENTA AL POR MAYOR DE PRODUCTOS FARMACEUTICOS| VEN;San Felipe;Región de Valparaíso ;Chile;;19;CL;7;48.0;2111-29-LE19;;114663277.0;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;"2142140027 MELATONINA 3 MG

60 CAJAS (1800 UNIDADES)

DESPACHAR TODO";2142140027 MELATONINA 3 MG;60;Caja;CLP;1185;0;0;0.0;71100;
43232076;5225-6-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=5225-6-SE21;MEDICAMENTOS PARA FARMACIA NAVAL PLAYA ANCHA;"ADQUISICIÓN MEDICAMENTOS  FARMACIA  PLAYA ANCHA
CONTACTO: SRTA. LORENA ROSAS  
FONO: 32-2345315
DESPACHAR EN : AVDA. GENERAL DEL CANTO 398-PLAYA ANCHA -VALPARAISO 
TI.Nª 332019-782

";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2021-01-07;2021-01-07;2021-01-07;2021-01-07;2021-01-08;;1;3,27027027027027;37;1042451,9;CLP;1042451,9;166441,9;IVA;0;0;876010;6138;61.102.138-0;DEPTO. DE BIENESTAR SOCIAL (V) AREA COMERCIAL;111875;DIRECCION DE ABASTECIMIENTO DE LA ARMADA;FFAA;;Valparaíso;Región de Valparaíso ;CL;275627;76.956.140-4;ETHON PHARMACEUTICALS SPA.;269948;ETHON PHARMACEUTICALS  COMERCIALIZADORA  IMP EXP Y DIST SPA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Rancagua;Región del Libertador General Bernardo O´Higgins;Chile;PAF;19;CL;7;2.0;5225-12-LP20;;114685009.0;42171900.0;Equipamiento y suministros médicos / Artículos médicos para urgencias y atención en terreno / Contenedores de almacenaje para servicios médicos de urgencia;42171903.0;Cajas de medicamentos de servicios médicos de urge;Equipamiento y suministros médicos;Artículos médicos para urgencias y atención en terreno;Contenedores de almacenaje para servicios médicos de urgencia;DEPTO. DE BTAR. SOCIAL Ira. Z.N.;"LABORATORIO ETHON
MELATONINA 3 MG X 30 COMP";50;Unidad no definida;CLP;1203;0;0;0.0;60150;30 dias contra la recepcion conforme de la factura
43236155;2381-30-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2381-30-SE21;ORDEN DE COMPRA DESDE 2381-38-LE20;ADQUISICIÓN DE FARMACOS, SUPLEMENTOS ALIMENTICIOS DESDE 2381-38-LE20;SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2021-01-08;2021-01-08;2021-01-08;2021-01-08;2021-01-08;;1;3,69354838709677;62;341898,9;CLP;341898,9;54588,9;IVA;0;0;287310;3373;69.030.200-4;DEPARTAMENTO DE ADQUISICIONES DASM;86872;I MUNICIPALIDAD DE COPIAPO;Municipalidades;EMPRESAS DE PUBLICIDAD| GOBIERNO CENTRAL;Copiapó;Región de Atacama ;CL;261744;76.830.090-9;Caribean Pharma Ltda;256360;FARMACEUTICA CARIBEAN LTDA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Renca;Región Metropolitana de Santiago;Chile;009;19;CL;7;2.0;2381-38-LE20;;114695746.0;42171900.0;Equipamiento y suministros médicos / Artículos médicos para urgencias y atención en terreno / Contenedores de almacenaje para servicios médicos de urgencia;42171903.0;Cajas de medicamentos de servicios médicos de urgencia;Equipamiento y suministros médicos;Artículos médicos para urgencias y atención en terreno;Contenedores de almacenaje para servicios médicos de urgencia;MELATONINA 3MG;VOL0222 MELATONINA 3MG X 30 COMP. Entrega 24-48 HR MELATONINA F-11438 EUROMED  VENC. 31-10-2022   ;30;Caja;CLP;1047;0;0;0.0;31410;30 dias contra la recepcion conforme de la factura
43238471;2735-56-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2735-56-SE21;MEDICAMENTOS FARMACIA COMUNAL BIOPAS;"SUMINISTRO DE MEDICAMENTOS PARA FARMACIA COMUNAL DESDE 2735-50-LR19

DESPACHAR A:
AVDA. EL RODEO Nº 13.533, LO BARNECHEA.
LUNES A VIERNES 9:00 a 13:00
";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2021-01-08;2021-01-15;2021-01-15;2021-01-15;2021-01-15;;1;0;0;303724,89;CLP;303724,89;48493,89;IVA;0;0;255231;3724;69.255.200-8;Municipalidad de lo Barnechea - Adquisiciones - Consistorial;100155;I MUNICIPALIDAD LO BARNECHEA;Municipalidades;;Lo Barnechea;Región Metropolitana de Santiago;CL;668273;76.091.301-4;LABORATORIOS BIOPAS S.A.;1270266;LABORATORIOS BIOPAS S.A.;VENTA AL POR MAYOR DE OTROS PRODUCTOS N.C.P.| OTRA;Huechuraba;Región Metropolitana de Santiago;Chile;certificado presupuestario;19;CL;7;2.0;2735-50-LR19;;114703961.0;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;VIGISOM 2 MG X 30 COMP. (80340);Vigisom 2 mg, melatonina en comprimidos de liberación prolongada, caja de 30 comprimidos, vence 06-2023, entrega en 24 a 48 horas, registro ISP F-17679 -14, precio por comprimido no incluye iva ;8;Unidad no definida;CLP;16860;0;0;0.0;134880;30 dias contra la recepcion conforme de la factura
43241217;1058044-89-AG21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1058044-89-AG21;Fármacos Stock Enero 2021;La Recepción de Mercaderia se realizará SÓLO CONTRA GUÍA DE DESPACHO en conformidad a Ley de Pago Oportuno N°21.131 en Bodega de Farmacia, ubicada en Av. Videla S/N° de Lunes a Viernes de las 08:30 a las 13:00. Posterior a Recepción Conforme en Portal de ;AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;12;Recepcion Conforme;7;Recepcion Conforme;2021-01-11;2021-01-11;2021-01-11;2021-01-11;2021-01-11;;1;3,69354838709677;62;573365,8;CLP;573365,8;91545,8;IVA;0;0;481820;1058044;61.606.403-7;Fármarcos;7416;SERVICIO DE SALUD COQUIMBO HOSPITAL DE COQUIMBO;Salud;Servicio Público;Coquimbo;Región de Coquimbo ;CL;261744;76.830.090-9;Caribean Pharma Ltda;256360;FARMACEUTICA CARIBEAN LTDA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Renca;Región Metropolitana de Santiago;Chile;;19;CL;7;48.0;;;114709099.0;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;214-0403	VOL0222  MELATONINA 3MG X 30 COMP.;214-0403	VOL0222  MELATONINA 3MG X 30 COMP.;10020;Cápsula;CLP;35;0;0;0.0;350700;
43241737;1058131-8-SE21;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1058131-8-SE21;Caribean Enero 2021;Medicamentos Orales DESDE 1058131-8-LP19;SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2021-01-11;2021-01-11;2021-01-11;2021-01-11;2021-01-11;;1;3,69354838709677;62;520910,6;CLP;520910,6;83170,6;IVA;0;0;437740;1058131;61.607.201-3;Fármarcos;7315;SERVICIO DE SALUD TALCAHUANO HOSPITAL DE;Salud;Servicio Público;Tomé;Región del Biobío ;CL;261744;76.830.090-9;Caribean Pharma Ltda;256360;FARMACEUTICA CARIBEAN LTDA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Quilicura;Región Metropolitana de Santiago;Chile;;19;CL;7;2.0;1058131-8-LP19;;114710611.0;12162200.0;Productos químicos industriales / Aditivos / Anti-oxidantes;12162207.0;Melatonina;Productos químicos industriales;Aditivos;Anti-oxidantes;MELATONINA 3 MG ORAL;"VOL0222	MELATONINA 3MG X 30 COMP.	  	ENTREGA 2-3 DIAS	MELATONINA 3 MG X 30 COMPRIMIDOS	F-11438	EUROMED	30-07-2021
";6000;Comprimido;CLP;45;0;0;0.0;270000;30 dias contra la recepcion conforme de la factura
