ID;Codigo;Link;Nombre;Descripcion/Obervaciones;Tipo;ProcedenciaOC;EsTratoDirecto;EsCompraAgil;CodigoTipo;CodigoAbreviadoTipoOC;DescripcionTipoOC;codigoEstado;Estado;codigoEstadoProveedor;EstadoProveedor;FechaCreacion;FechaEnvio;FechaSolicitudCancelacion;fechaUltimaModificacion;FechaAceptacion;FechaCancelacion;tieneItems;PromedioCalificacion;CantidadEvaluacion;MontoTotalOC;TipoMonedaOC;MontoTotalOC_PesosChilenos;Impuestos;TipoImpuesto;Descuentos;Cargos;TotalNetoOC;CodigoUnidadCompra;RutUnidadCompra;UnidadCompra;CodigoOrganismoPublico;OrganismoPublico;sector;ActividadComprador;CiudadUnidadCompra;RegionUnidadCompra;PaisUnidadCompra;CodigoSucursal;RutSucursal;Sucursal;CodigoProveedor;NombreProveedor;ActividadProveedor;ComunaProveedor;RegionProveedor;PaisProveedor;Financiamiento;PorcentajeIva;Pais;TipoDespacho;FormaPago;CodigoLicitacion;Codigo_ConvenioMarco;IDItem;codigoCategoria;Categoria;codigoProductoONU;NombreroductoGenerico;RubroN1;RubroN2;RubroN3;EspecificacionComprador;EspecificacionProveedor;cantidad;UnidadMedida;monedaItem;precioNeto;totalCargos;totalDescuentos;totalImpuestos;totalLineaNeto;Forma de Pago
45488691;3690-30-SE22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3690-30-SE22;ORDEN DE COMPRA DESDE 3690-54-LE21;La Ilustre Municipalidad de Las Cabras a través del Departamento de salud, como responsable de los establecimientos de atención primaria de salud de la comuna, busca proporcionar un servicio del mayor grado de satisfacción posible a las personas beneficia;SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2022-02-25;2022-03-10;2022-03-01;2022-03-08;2022-03-10;;1;4,23157894736842;76;2535237,88;CLP;2535237,88;404785,88;IVA;0;0;2130452;4610;69.080.800-5;Salud;116296;I MUNICIPALIDAD DE LAS CABRAS;Municipalidades;;Las Cabras;Región del Libertador General Bernardo O´Higgins;CL;550506;91.575.000-1;Socofar Division Munnich;26783;SOCOFAR S A;REPARACION DE EQUIPO MEDICO Y QUIRURGICO, Y DE APA;Quilicura;Región Metropolitana de Santiago;Chile;147;19;CL;7;2.0;3690-54-LE21;;120932362;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810.0;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;ZOPICLONA 7.5 MG COMPRIMIDO;225187 ZOPICLONA BIOEQUIVALENTE COMPRIMIDOS RECUBIERTOS 7,5MG. CAJA X 1000 LAB MINTLABREG ISP F-12586 VENCIMIENTO DICIEMBRE 2023 SE ADJUNTA FICHA TECNICA. DESPACHO EN 24 HORAS EL DESPACHO NO TIENE COSTO ADICIONAL.  MONTO MINIMO FACTURACION 50.000.;10000;Unidad;CLP;21,73;0;0;0;217300;30 dias contra la recepcion conforme de la factura
45498924;2320-81-SE22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2320-81-SE22;FÁRMACOS FARMACIA COMUNITARIA;Fármacos usuarios de farmacia comunitaria. ;SE;Contratación con titulares de derecho de propiedad intelectual o industrial;Si;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2022-02-28;2022-03-01;2022-03-01;2022-03-01;2022-03-01;;1;4,40377358490566;53;3732911;CLP;3732911;596011;IVA;0;0;3136900;3313;69.130.100-1;ADQUISICIONES SALUD MUNICIPAL;86407;I MUNICIPALIDAD DE SAN JAVIER;Municipalidades;CULTIVO DE TRIGO| CULTIVO FORRAJEROS EN PRADERAS MEJORADAS O SEMBRADAS| CULTIVO DE OTRAS OLEAGINOSAS N.C.P.| OTROS SERVICIOS AGRICOLAS N.C.P.| MUNICIPALIDADES| ESTABLECIMIENTOS DE ENSENANZA PRIMARIA| INSTITUTOS PROFESIONALES| ESTABLECIMIENTOS MEDICOS DE A;San Javier;Región del Maule ;CL;106395;77.596.940-7;LABORATORIO CHILE S.A.;103860;LABORATORIO CHILE S A;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Ñuñoa;Región Metropolitana de Santiago;Chile;2152204004;19;CL;7;2.0;;;120988940;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810.0;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;;;10;Unidad no definida;CLP;4689;0;0;0;46890;30 dias contra la recepcion conforme de la factura
45501187;3829-51-CC22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3829-51-CC22;COMPRA FARMACOS MES FEBRERO 2022 ;"ADQUISICION DE MEDICAMENTOS MES FEBRERO 2022 DEPÁRTAMENTO DE SALUD, RANQUIL SOLICITADO POR Q.F VICTOR FREIRE CON FECHA 24-02-2022 CORRESPONDIENTE A LA ID 1058101-2-LR21, RESOLUCION EXENTA N°0579 DEL 05-02-2022 

DESPACHAR CALLE PEDRO AGUIRRE CERDA 392, ";CC;Proveniente de licitación pública;No;No;14;CC;Compra Coordinada;6;Aceptada;4;Aceptada;2022-02-28;2022-03-04;2022-03-04;2022-03-04;2022-03-04;;1;3,8375;16;34986;CLP;34986;5586;IVA;0;0;29400;4749;69.150.300-3;Departamento de Salud;7418;Ilustre Municipalidad de Ranquil;Municipalidades;;Ranquil;Región del Ñuble;CL;26581;91.637.000-8;LABORATORIOS RECALCINE S.A;26786;LABORATORIOS RECALCINE SA;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Providencia;Región Metropolitana de Santiago;Chile;215-22-04-004-001;19;CL;7;2.0;1058101-2-LR21;;120971322;51141500.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Anticonvulsivos;51141502.0;Clonazepam;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Anticonvulsivos;ESZOPICLONA 3 MG X 30 UNIDADES ;;10;Caja;CLP;2940;0;0;0;29400;30 dias contra la recepcion conforme de la factura
45502663;3780-91-SE22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=3780-91-SE22;Medicamentos, Sol. N°57, DR. Guillermo Figueroa.;"Los productos deberán ser entregados en dependencias del Centro de Salud Familiar, ubicado en Avenida Marcial Cáceres N° 048 Comuna Yerbas Buenas. Atención Sra. Giovanna González Torres, de lunes a viernes desde 8:30 a 13:30 y de 14:30 a 16:30 horas.

";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2022-02-28;2022-03-01;2022-03-01;2022-03-01;2022-03-01;;1;4,23157894736842;76;5566990,17;CLP;5566990,17;888847,17;IVA;0;0;4678143;4700;69.130.402-7;Depto. Salud;116738;Ilustre Municipalidad de Yerbas Buenas;Municipalidades;Servicios;Yerbas Buenas;Región del Maule ;CL;550506;91.575.000-1;Socofar Division Munnich;26783;SOCOFAR S A;REPARACION DE EQUIPO MEDICO Y QUIRURGICO, Y DE APA;Quilicura;Región Metropolitana de Santiago;Chile;22-04-004;19;CL;7;2.0;3780-53-LQ21;;120982674;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810.0;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;ZOPICLONA 7.5 MG. ;ZOPICLONA 7.5 MG. ;6000;Comprimido;CLP;21,73;0;0;0;130380;30 dias contra la recepcion conforme de la factura
45508261;2757-170-AG22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2757-170-AG22;Adquisición de medicamentos, para uso de Farmacia Municipal de la Comuna de San Antonio. (Orden de Compra generada por invitación a compra ágil: 2757-163-COT22);Adquisición de medicamentos, para uso de Farmacia Municipal de la Comuna de San Antonio. (Orden de Compra generada por invitación a compra ágil: 2757-163-COT22);AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;6;Aceptada;4;Aceptada;2022-03-01;2022-03-01;2022-03-01;2022-03-01;2022-03-01;;1;3,69354838709677;62;282744;CLP;282744;45144;IVA;0;0;237600;3746;69.073.400-1;Salud;100318;I MUNICIPALIDAD DE SAN ANTONIO;Municipalidades;GOBIERNO CENTRAL Y ADMINISTRACION PUBLICA| MUNICIPALIDADES;San Antonio;Región de Valparaíso ;CL;261744;76.830.090-9;Caribean Pharma Ltda;256360;FARMACEUTICA CARIBEAN LTDA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Renca;Región Metropolitana de Santiago;Chile;215.22.04.004.004.000;19;CL;12;2.0;;;120992821;42171900.0;Equipamiento y suministros médicos / Artículos médicos para urgencias y atención en terreno / Contenedores de almacenaje para servicios médicos de urgencia;42171903.0;Cajas de medicamentos de servicios médicos de urge;Equipamiento y suministros médicos;Artículos médicos para urgencias y atención en terreno;Contenedores de almacenaje para servicios médicos de urgencia;ESZOPICLONA 3 MG. CAJA X 30 COMPRIMIDOS RECUBIERTOS;ESZOPICLONA 3MG X 30COMP, Eszopiclona 3 mg, F-22496/21, SEVEN PHARMA, Venc: 30-06-2023;80;Caja;CLP;2970;0;0;0;237600;30 dias contra la recepcion conforme de la factura
45510352;2734-170-AG22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2734-170-AG22;GDA-11538 CM ESZOPICLONA 3 MG;;AG;Adquisición igual o inferior a 30 UTM (Debe presentar 3 cotizaciones);Si;Si;13;AG;Compra Ágil;6;Aceptada;4;Aceptada;2022-03-01;2022-03-02;2022-03-01;2022-03-01;2022-03-02;;1;3,27027027027027;37;923440;CLP;923440;147440;IVA;0;0;776000;3723;69.071.700-K;DEPARTAMENTO DE SALUD;100137;MUNICIPALIDAD DE PEÑAFLOR;Municipalidades;GOBIERNO CENTRAL Y ADMINISTRACION PUBLICA;Peñaflor;Región Metropolitana de Santiago;CL;275627;76.956.140-4;ETHON PHARMACEUTICALS SPA.;269948;ETHON PHARMACEUTICALS  COMERCIALIZADORA  IMP EXP Y DIST SPA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Rancagua;Región del Libertador General Bernardo O´Higgins;Chile;1656;19;CL;7;2.0;;;120998979;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810.0;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;ESZOPICLONA 3 MG;;8000;Comprimido;CLP;97;0;0;0;776000;30 dias contra la recepcion conforme de la factura
45510453;1057421-165-SE22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1057421-165-SE22;LIC Compra de Medicamento HFC Laja - 220400400102 - Folio 23.584 (rbr) ;"Medicamentos para el HFC Laja DESDE 1057421-4-LE22, Solicitud de Adquisición N° 23.584 emitida por Srta. Marcela Burgos Tapia, Químico Farmacéutico del
Hospital de Laja.
Aceptar OC previa emisión de la factura. Remitir su DTE en formato XML al correo de";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2022-03-01;2022-03-02;2022-03-02;2022-03-02;2022-03-02;;1;3,69354838709677;62;708407;CLP;708407;113107;IVA;0;0;595300;1057421;61.607.306-0;Bienes y Servicios;7464;SERVICIO DE SALUD BIO BIO HOSPITAL DE LAJA;Salud;Servicio Público;Laja;Región del Biobío ;CL;261744;76.830.090-9;Caribean Pharma Ltda;256360;FARMACEUTICA CARIBEAN LTDA;VENTA AL POR MAYOR DE ARTICULOS DE PERFUMERIA, COS;Renca;Región Metropolitana de Santiago;Chile;;19;CL;7;2.0;1057421-4-LE22;;120999287;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810.0;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;ZOPICLONA 7,5 MG;MIN0215 ZOPICLONA 7,5  COMP. CAJA X 1000, Zoplicona 7,5 mg, F-12586/17, MINTLAB, Venc: 31-10-2023, Plazo de entrega de 24-48 hrs;10000;Comprimido;CLP;21,73;0;0;0;217300;30 dias contra la recepcion conforme de la factura
45513268;1058132-694-SE22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=1058132-694-SE22;ORDEN DE COMPRA DESDE 1058132-68-LQ20;"TIPO:NORMAL
COMPRA POR SUMINISTRO DE MEDICAMENTOS  TABLA N° 3 LETRA V DESDE 1058132-68-LQ20
Repaso Programa de compras de Marzo  2022, despachar mercaderías con vencimientos superiores a 12 meses.
Lugar de Entrega: Bodega de Farmacos del Hospital Las H";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2022-03-02;2022-03-17;2022-03-17;2022-03-17;2022-03-17;;1;3,8375;16;35700;CLP;35700;5700;IVA;0;0;30000;1058132;61.607.202-1;Fármarcos;7419;SERVICIO DE SALUD DE TALCAHUANO HOSPITAL;Salud;Servicio Público;Talcahuano;Región del Biobío ;CL;26581;91.637.000-8;LABORATORIOS RECALCINE S.A;26786;LABORATORIOS RECALCINE SA;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS;Providencia;Región Metropolitana de Santiago;Chile;;19;CL;7;48.0;1058132-68-LQ20;;121007767;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810.0;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;004-0468 ESZOPICLONA COMPRIMIDOS RECUBIERTOS 3 MG;"881851 VALNOC COMP. REC. 3 MG X 30 , VENCIMIENTO: 18-08-2025  REGISTRO ISP F-1673518  
";300;Comprimido;CLP;100;0;0;0;30000;
45520437;2421-303-SE22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=2421-303-SE22;FARMACOS DAS;"BODEGA FARMACIA MEGACENTRO 
DIRECCIÓN	: CAMINO LOS CARROS Nº 1955, BODEGAS Nº3 Y Nº4, GALPÓN 5, CONCEPCIÓN.
CONTACTO	: Q.F. JOSÉ CARTES
FONO		: 41-2449217 / 41-2449287
HORARIO		: LUNES A VIERNES DE 09:00 A 15:00 HRS.
PLAZO ENTREGA: 1 DIA HABIL .
""SE";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;12;Recepcion Conforme;7;Recepcion Conforme;2022-03-03;2022-03-07;2022-03-07;2022-05-11;2022-03-08;;1;4,23157894736842;76;12421427,06;CLP;12421427,06;1983253,06;IVA;0;0;10438174;3413;69.256.900-8;DIRECCION DE SALUD MUNICIPAL DE CONCEPCION;87382;I MUNICIPALIDAD DE CONCEPCION;Municipalidades;;Concepción;Región del Biobío ;CL;550506;91.575.000-1;Socofar Division Munnich;26783;SOCOFAR S A;REPARACION DE EQUIPO MEDICO Y QUIRURGICO, Y DE APA;Quilicura;Región Metropolitana de Santiago;Chile;215.22.04.004.001;19;CL;7;2.0;2421-53-LR21;;121031137;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810.0;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;"Eszopiclona 3 mg Comp. (Zopiclona 7,5 mg Comp.)	CAJA X 1000 
";;208000;Unidad no definida;CLP;21,7;0;0;0;4513600;30 dias contra la recepcion conforme de la factura
45521047;4053-139-SE22;http://www.mercadopublico.cl/PurchaseOrder/Modules/PO/DetailsPurchaseOrder.aspx?codigoOC=4053-139-SE22;FARMACOS - CESFAM MARIQUINA;"ENTREGAR EN:
BODEGA CESFAM MARIQUINA, CALLE RENE MANSS S/N, SAN JOSÉ DE LA MARIQUINA
DE LUNES A VIERNES DE 08:30 HRS A 12:00 HRS - 14:00 HRS A 16:30 HRS 
VIERNES HASTA LAS 15:30 HRS       /       SP 088/22 
";SE;Proveniente de licitación pública;No;No;8;SE;Sin emisión automática;6;Aceptada;4;Aceptada;2022-03-03;2022-03-04;2022-03-03;2022-03-04;2022-03-07;;1;4,23157894736842;76;1606622,57;CLP;1606622,57;256519,57;IVA;0;0;1350103;4973;69.200.400-0;Ilustre Municipalidad de Mariquina;120001;I MUNICIPALIDAD DE MARIQUINA;Municipalidades;GOBIERNO CENTRAL Y ADMINISTRACION PUBLICA;Mariquina;Región de Los Ríos;CL;550506;91.575.000-1;Socofar Division Munnich;26783;SOCOFAR S A;REPARACION DE EQUIPO MEDICO Y QUIRURGICO, Y DE APA;Quilicura;Región Metropolitana de Santiago;Chile;;19;CL;7;2.0;4053-3-LQ21;;121053403;51141800.0;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Hipnóticos;51141810.0;Zopiclona;Medicamentos y productos farmacéuticos;Medicamentos para el sistema nervioso central;Hipnóticos;"ZOPICLONA 7,5 MG	
";"225187 ZOPICLONA BE.COMPRI.7.5MG.1000 ENV.CLI, CAJA X 1000, GENERICOS CLINICOS, COMPRIMIDO	
";15000;Comprimido;CLP;24,35;0;0;0;365250;30 dias contra la recepcion conforme de la factura
